seed,reward_hyplanehead
200000,-1.4061381816864014
200001,-1.136653184890747
200002,-1.3649721145629883
200003,-1.4387083053588867
200004,-0.26480740308761597
200005,-1.6324466466903687
200006,-1.7760382890701294
200007,-1.7640862464904785
200008,-1.3251374959945679
200009,-1.7954267263412476
200010,-1.4287567138671875
200011,-1.770160436630249
200012,-1.6296072006225586
200013,-1.6581835746765137
200014,-1.5853550434112549
200015,-0.8305293917655945
200016,-0.7490154504776001
200017,-1.108806848526001
200018,-1.2051552534103394
200019,-1.281501054763794
200020,-1.2784411907196045
200021,-1.8119099140167236
200022,-2.0848069190979004
200023,-0.6208509206771851
200024,-1.254553198814392
200025,-0.8503788113594055
200026,-1.6254148483276367
200027,-1.4903525114059448
200028,-1.246100902557373
200029,-1.434943675994873
200030,-1.1749038696289062
200031,-1.5677599906921387
200032,-1.4703046083450317
200033,-1.1909894943237305
200034,-0.7627938389778137
200035,-1.4898583889007568
200036,-0.30431801080703735
200037,-1.7598798274993896
200038,-1.590097188949585
200039,-0.3723912835121155
200040,-1.5441014766693115
200041,-1.62517511844635
200042,-1.4481045007705688
200043,-1.9820702075958252
200044,-1.4954569339752197
200045,-1.1687370538711548
200046,-1.546532154083252
200047,-1.7784942388534546
200048,-1.8110556602478027
200049,-1.5885859727859497
200050,-1.3142540454864502
200051,-1.3221547603607178
200052,-1.6105024814605713
200053,-1.632866621017456
200054,-0.7893858551979065
200055,-1.673945426940918
200056,-1.3885191679000854
200057,-1.1049129962921143
200058,-1.6580969095230103
200059,-1.549873948097229
200060,-1.63728928565979
200061,-1.5070786476135254
200062,-1.6101269721984863
200063,-1.369554877281189
200064,-1.2729403972625732
200065,-0.4689510464668274
200066,-0.7032569646835327
200067,-1.5148372650146484
200068,-1.591381311416626
200069,-1.7647523880004883
200070,-1.2570785284042358
200071,-1.3597660064697266
200072,-0.6569443941116333
200073,-0.4551440179347992
200074,-0.8369994163513184
200075,-1.6335344314575195
200076,-1.6736412048339844
200077,-1.5189406871795654
200078,-1.2348875999450684
200079,-1.4831023216247559
200080,-1.232649326324463
200081,-0.4930015206336975
200082,-1.5101853609085083
200083,-1.3575050830841064
200084,-1.5896644592285156
200085,-1.60801100730896
200086,-1.233585238456726
200087,-1.4177601337432861
200088,-1.5277496576309204
200089,-1.5742433071136475
200090,-1.1597590446472168
200091,-1.169043779373169
200092,-1.2567124366760254
200093,-1.9611622095108032
200094,-1.2565410137176514
200095,-1.687021255493164
200096,-1.289993405342102
200097,-1.174392580986023
200098,-1.5164260864257812
200099,-1.0430142879486084
