seed,reward_panohead
200000,-3.456186532974243
200001,-5.162972450256348
200002,-5.459064483642578
200003,-4.838435173034668
200004,-6.131726264953613
200005,-5.89991569519043
200006,-3.1185498237609863
200007,-2.5680429935455322
200008,-5.998289108276367
200009,-7.085920333862305
200010,-3.875563859939575
200011,-5.810572624206543
200012,-5.87312650680542
200013,-6.415641784667969
200014,-5.276551246643066
200015,-6.310619354248047
200016,-4.373293876647949
200017,-6.2076005935668945
200018,-5.722217559814453
200019,-5.882013320922852
200020,-5.111499309539795
200021,-6.031137943267822
200022,-6.09151029586792
200023,-5.86649227142334
200024,-5.337230682373047
200025,-5.500807762145996
200026,-5.720069885253906
200027,-5.825618743896484
200028,-6.148387908935547
200029,-7.935142993927002
200030,-4.2682037353515625
200031,-3.275777816772461
200032,-5.724289417266846
200033,-4.8754730224609375
200034,-6.282323360443115
200035,-7.6439104080200195
200036,-6.937486171722412
200037,-7.204484939575195
200038,-4.741260528564453
200039,-4.8500657081604
200040,-6.276612758636475
200041,-3.8305914402008057
200042,-4.988446235656738
200043,-3.389194965362549
200044,-6.345327854156494
200045,-6.454538822174072
200046,-4.982726097106934
200047,-4.834926605224609
200048,-5.884331703186035
200049,-4.205988883972168
200050,-3.7196872234344482
200051,-5.672937870025635
200052,-7.302935600280762
200053,-7.822396278381348
200054,-4.573071479797363
200055,-5.4272942543029785
200056,-3.901291847229004
200057,-3.9702014923095703
200058,-5.964277267456055
200059,-7.200519561767578
200060,-6.555346965789795
200061,-4.35209321975708
200062,-5.7809906005859375
200063,-7.38880729675293
200064,-5.497417449951172
200065,-3.2641098499298096
200066,-7.013774394989014
200067,-4.629596710205078
200068,-4.043245315551758
200069,-6.155115127563477
200070,-6.6580986976623535
200071,-5.382833480834961
200072,-5.567617416381836
200073,-5.511274814605713
200074,-5.421469211578369
200075,-5.543822288513184
200076,-3.2597827911376953
200077,-5.815854072570801
200078,-4.951452732086182
200079,-4.636957168579102
200080,-4.877749919891357
200081,-5.484989166259766
200082,-5.690176010131836
200083,-5.73841667175293
200084,-5.141190052032471
200085,-6.2763590812683105
200086,-6.244962692260742
200087,-7.425323963165283
200088,-6.186801910400391
200089,-5.722700595855713
200090,-3.4715769290924072
200091,-2.4859275817871094
200092,-3.726531505584717
200093,-5.675695419311523
200094,-5.410957336425781
200095,-6.168089866638184
200096,-4.572848796844482
200097,-5.884087562561035
200098,-4.956966400146484
200099,-5.498908996582031
