seed,reward_spherehead
200000,-3.4959893226623535
200001,-3.3416805267333984
200002,-2.952958583831787
200003,-3.3163859844207764
200004,-2.7069814205169678
200005,-3.7076454162597656
200006,-3.100647449493408
200007,-3.5725133419036865
200008,-2.852163076400757
200009,-2.837904453277588
200010,-3.327509880065918
200011,-2.8157243728637695
200012,-2.7330751419067383
200013,-3.3137309551239014
200014,-3.301285743713379
200015,-2.6445810794830322
200016,-3.8925445079803467
200017,-3.1089682579040527
200018,-2.844741106033325
200019,-3.095625877380371
200020,-3.594714403152466
200021,-3.0133588314056396
200022,-3.0031533241271973
200023,-3.147266387939453
200024,-3.0991711616516113
200025,-4.101940155029297
200026,-2.6730566024780273
200027,-3.546792507171631
200028,-3.1026647090911865
200029,-3.2511539459228516
200030,-3.3666958808898926
200031,-3.418790340423584
200032,-3.080256462097168
200033,-3.8444619178771973
200034,-3.145385265350342
200035,-2.9844281673431396
200036,-2.886078357696533
200037,-3.7293829917907715
200038,-2.554485321044922
200039,-0.9167742729187012
200040,-3.0020012855529785
200041,-2.721735954284668
200042,-3.122697353363037
200043,-3.0968031883239746
200044,-3.0374722480773926
200045,-3.261967182159424
200046,-2.926187038421631
200047,-2.993950605392456
200048,-3.4455723762512207
200049,-2.7382965087890625
200050,-3.998765468597412
200051,-3.2191414833068848
200052,-3.7172656059265137
200053,-2.5621228218078613
200054,-2.446195125579834
200055,-3.2033839225769043
200056,-3.206908702850342
200057,-2.6209774017333984
200058,-3.1525747776031494
200059,-2.354732036590576
200060,-1.2270593643188477
200061,-2.9867331981658936
200062,-4.087194442749023
200063,-3.3172497749328613
200064,-2.7473888397216797
200065,-2.971012592315674
200066,-2.7524499893188477
200067,-3.4337592124938965
200068,-3.328423023223877
200069,-2.92637300491333
200070,-3.3620898723602295
200071,-2.989992380142212
200072,-2.5168051719665527
200073,-3.782130002975464
200074,-3.142751932144165
200075,-3.9695520401000977
200076,-2.833099842071533
200077,-2.903167247772217
200078,-2.730894088745117
200079,-3.6007728576660156
200080,-3.12965726852417
200081,-3.0155253410339355
200082,-2.626267433166504
200083,-3.0317957401275635
200084,-3.6834280490875244
200085,-3.0038986206054688
200086,-3.7523772716522217
200087,-4.097105979919434
200088,-3.9117014408111572
200089,-2.494119167327881
200090,-2.493960380554199
200091,-3.6356897354125977
200092,-3.514065980911255
200093,-3.57383131980896
200094,-2.942344903945923
200095,-2.697500228881836
200096,-3.05751633644104
200097,-3.9744815826416016
200098,-3.0419223308563232
200099,-4.745224952697754
