seed,reward_hyplanehead
200000,-1.4384002685546875
200001,-0.9496287107467651
200002,-1.2227643728256226
200003,-1.3738240003585815
200004,-0.3914324939250946
200005,-1.5352585315704346
200006,-1.804160475730896
200007,-1.7068039178848267
200008,-1.3069605827331543
200009,-1.7723690271377563
200010,-1.3788330554962158
200011,-1.6543635129928589
200012,-1.5314421653747559
200013,-1.640458106994629
200014,-1.5940083265304565
200015,-0.8744374513626099
200016,-0.7090640068054199
200017,-1.0479477643966675
200018,-1.1940457820892334
200019,-1.445192813873291
200020,-1.1798930168151855
200021,-2.015242576599121
200022,-1.330446720123291
200023,-0.8096440434455872
200024,-1.2025357484817505
200025,-0.8494800329208374
200026,-1.5368764400482178
200027,-1.4606528282165527
200028,-1.3125048875808716
200029,-1.57470703125
200030,-1.2388516664505005
200031,-1.6531952619552612
200032,-1.5215973854064941
200033,-1.3231308460235596
200034,-0.7920318841934204
200035,-1.549275279045105
200036,-0.3895009160041809
200037,-1.7674188613891602
200038,-1.632643461227417
200039,-0.33122602105140686
200040,-1.6612746715545654
200041,-1.5313876867294312
200042,-1.4127118587493896
200043,-1.9487665891647339
200044,-1.3926143646240234
200045,-1.229184865951538
200046,-1.5145552158355713
200047,-1.775608777999878
200048,-1.7142274379730225
200049,-1.564638376235962
200050,-1.4919650554656982
200051,-0.9383102059364319
200052,-1.5580828189849854
200053,-1.6567286252975464
200054,-0.7187225818634033
200055,-1.4831242561340332
200056,-1.372398853302002
200057,-1.087867021560669
200058,-1.6470547914505005
200059,-1.6546865701675415
200060,-1.7342193126678467
200061,-1.4107575416564941
200062,-1.6455893516540527
200063,-1.385817527770996
200064,-1.3516981601715088
200065,-0.2371678203344345
200066,-0.6778601408004761
200067,-1.3068598508834839
200068,-1.6382561922073364
200069,-1.774182915687561
200070,-1.2040250301361084
200071,-1.3869901895523071
200072,-0.8350360989570618
200073,-0.5159463882446289
200074,-0.9784696698188782
200075,-1.6386864185333252
200076,-1.7303415536880493
200077,-1.6872272491455078
200078,-1.3046079874038696
200079,-1.3417701721191406
200080,-0.9967828392982483
200081,-0.3527274429798126
200082,-1.441199541091919
200083,-1.5078673362731934
200084,-1.6427032947540283
200085,-1.401532769203186
200086,-1.2154406309127808
200087,-1.3138478994369507
200088,-1.4968353509902954
200089,-1.424635410308838
200090,-1.0490996837615967
200091,-1.2452740669250488
200092,-1.129015326499939
200093,-1.9290292263031006
200094,-1.4009499549865723
200095,-1.5608019828796387
200096,-1.3690873384475708
200097,-1.3276140689849854
200098,-1.3382214307785034
200099,-0.9373259544372559
