seed,reward_hyplanehead
200000,-1.8522648811340332
200001,-1.4554662704467773
200002,-1.7215211391448975
200003,-1.973235845565796
200004,-0.7481293082237244
200005,-2.1672897338867188
200006,-2.0829057693481445
200007,-1.86588454246521
200008,-2.2063260078430176
200009,-1.847408413887024
200010,-2.0821099281311035
200011,-2.2200021743774414
200012,-2.011265516281128
200013,-2.0985946655273438
200014,-2.0605757236480713
200015,-1.0981271266937256
200016,-1.2856965065002441
200017,-1.778757095336914
200018,-2.159053087234497
200019,-1.92450749874115
200020,-2.05430269241333
200021,-2.4839282035827637
200022,-1.8608275651931763
200023,-0.8933135867118835
200024,-1.779502034187317
200025,-1.7975142002105713
200026,-2.0527563095092773
200027,-1.961539387702942
200028,-1.9781310558319092
200029,-2.078096628189087
200030,-1.6849411725997925
200031,-2.088212490081787
200032,-2.0998876094818115
200033,-2.04447078704834
200034,-0.7718775868415833
200035,-1.9860658645629883
200036,-0.9327359795570374
200037,-1.9517297744750977
200038,-1.8470319509506226
200039,-0.7359302639961243
200040,-2.1981682777404785
200041,-2.024674892425537
200042,-1.667708158493042
200043,-2.399622917175293
200044,-1.9642503261566162
200045,-1.5654903650283813
200046,-2.0977180004119873
200047,-1.998091459274292
200048,-2.2173101902008057
200049,-2.0559182167053223
200050,-1.9099847078323364
200051,-2.0159969329833984
200052,-1.901369333267212
200053,-2.1424617767333984
200054,-1.324829339981079
200055,-1.777764916419983
200056,-2.04062557220459
200057,-1.6670310497283936
200058,-1.9135420322418213
200059,-2.0802369117736816
200060,-2.45589017868042
200061,-2.112837791442871
200062,-2.1096222400665283
200063,-2.1851930618286133
200064,-2.0629940032958984
200065,-0.8364320993423462
200066,-0.8989702463150024
200067,-1.7214670181274414
200068,-2.016326427459717
200069,-2.091902732849121
200070,-2.0759191513061523
200071,-1.9849750995635986
200072,-1.197893738746643
200073,-1.2641503810882568
200074,-1.5771297216415405
200075,-2.0602948665618896
200076,-2.181100368499756
200077,-2.2004525661468506
200078,-2.0957694053649902
200079,-1.9993181228637695
200080,-1.1769174337387085
200081,-0.9430792331695557
200082,-1.9550378322601318
200083,-2.019042730331421
200084,-2.0506234169006348
200085,-2.175530195236206
200086,-1.9640569686889648
200087,-2.1636176109313965
200088,-1.9715732336044312
200089,-1.7199751138687134
200090,-1.8230621814727783
200091,-1.76804780960083
200092,-2.0196115970611572
200093,-2.294532537460327
200094,-1.7732875347137451
200095,-1.9401023387908936
200096,-1.513301134109497
200097,-2.013805866241455
200098,-2.1135785579681396
200099,-1.0470044612884521
