,rank1,rank2
0,35539,23763
1,36390,34268
2,29431,38592
3,33484,27099
4,20483,38398
5,31785,23930
6,24801,23662
7,24306,38349
8,24405,24688
9,38353,34121
10,24771,22229
11,21777,35670
12,38996,25484
13,32840,36319
14,21113,39686
15,26361,33555
16,36442,31825
17,35391,28745
18,21747,39506
19,29754,30120
20,35716,34582
21,32585,27241
22,34060,22352
23,25605,21443
24,35615,33083
25,28076,38777
26,29872,36504
27,34414,27818
28,33160,22021
29,21396,39144
30,20090,26604
31,24101,32277
32,30290,37758
33,29649,36306
34,28855,35817
35,24587,35541
36,22891,30068
37,20225,34985
38,24479,24025
39,21243,36259
40,36872,32687
41,23739,34519
42,28704,38617
43,27978,39887
44,33638,21404
45,25613,34542
46,39099,37364
47,24226,23156
48,20330,35939
49,39827,37038
50,31936,39660
51,22458,30608
52,25073,31495
53,21849,38731
54,35482,24465
55,23987,21956
56,36704,38497
57,37315,27059
58,27802,28368
59,20289,25980
60,35048,28102
61,38461,23943
62,20022,28112
63,24952,34056
64,31797,27992
65,25971,30861
66,24679,30716
67,24402,37340
68,31304,25256
69,34242,38013
70,20184,32518
71,28875,20475
72,26581,39602
73,39704,24842
74,21277,21939
75,35087,32146
76,20372,34943
77,21441,21510
78,35416,37956
79,30382,30729
80,35900,32246
81,32334,31563
82,29451,21092
83,31192,39780
84,29058,25278
85,28936,22884
86,23200,34758
87,33911,22754
88,28904,36095
89,22693,39880
90,26784,35437
91,27529,23408
92,32648,31134
93,20396,20072
94,20817,24775
95,35613,38834
96,34748,31085
97,21964,23420
98,20539,39516
99,21325,35394
100,32356,24408
101,33875,21199
102,39996,23067
103,24988,20297
104,38818,26505
105,36841,32467
106,27717,35983
107,36204,36147
108,20065,26487
109,35140,31024
110,36570,38753
111,35497,30713
112,21163,23583
113,26708,29859
114,37192,30368
115,32509,32900
116,35674,29870
117,29293,32554
118,33427,38864
119,24909,29028
120,24354,34793
121,25747,22323
122,33793,27312
123,31208,33636
124,30726,33680
125,27539,21855
126,30867,31858
127,23278,26082
128,30436,32311
129,32271,35336
130,32989,33838
131,24885,30315
132,34543,30619
133,23415,33768
134,28811,36104
135,38386,39560
136,39037,38379
137,25207,20472
138,29002,29609
139,22892,24946
140,21373,35565
141,21485,25871
142,32628,26157
143,25023,35728
144,21340,22976
145,21270,33573
146,30588,36882
147,31776,34631
148,32291,24930
149,20453,26923
150,26048,26659
151,33737,34890
152,28718,31007
153,38714,31739
154,23114,32854
155,28870,22174
156,32577,35982
157,24190,34731
158,25144,20802
159,27960,22125
160,35564,20355
161,35945,24016
162,32095,29500
163,31895,21256
164,26942,31675
165,28098,22224
166,21739,20154
167,29156,22123
168,29570,37719
169,21666,35732
170,26439,38774
171,26792,29469
172,28971,26999
173,26780,36190
174,30051,36648
175,31115,23077
176,33935,37168
177,28907,22867
178,31903,38979
179,29377,29499
180,28788,31458
181,22177,33735
182,24949,34461
183,37220,28765
184,21913,33417
185,26514,24453
186,31526,39033
187,39414,35105
188,31043,38257
189,28669,26249
190,20876,39109
191,26580,34518
192,33938,21102
193,29834,39184
194,39059,29561
195,25998,29685
196,21791,39804
197,25487,36338
198,37102,25577
199,32056,31283
200,20651,22084
201,38591,38443
202,35093,33904
203,33469,22575
204,29603,32814
205,25654,36428
206,25064,37656
207,32504,24898
208,21397,21783
209,33842,26542
210,29514,36616
211,36491,38060
212,29634,36941
213,35475,30188
214,32124,31966
215,27839,20193
216,27708,37531
217,22790,33257
218,28438,23520
219,34039,39518
220,20388,29560
221,33702,22555
222,29857,28611
223,23585,24932
224,28683,27420
225,37066,32193
226,34314,21573
227,24965,34681
228,28312,36603
229,36955,28921
230,30204,38388
231,36351,29003
232,24358,27103
233,22124,31094
234,24418,26066
235,33626,27686
236,20393,29629
237,24865,35865
238,33910,34427
239,32220,30345
240,35392,34182
241,39963,27689
242,27790,25888
243,26547,39445
244,38966,28577
245,28688,28623
246,22787,34879
247,29060,30060
248,31809,37788
249,36090,27318
250,25934,20370
251,33881,22988
252,34484,26073
253,35173,21212
